*品號,*序號,*客戶代號,*銷貨日期,來源單號
BBPR014012PIM-02                        ,FN286408                      ,1103,20100721,231-20100721008-0001
BBPR014012PIM-02                        ,FN286568                      ,1103,20100625,231-20100625007-0001
BBPR014012PIM-02                        ,FN286569                      ,1103,20100625,231-20100625007-0001
BBPR014012PIM-02                        ,FN286642                      ,1103,20100729,231-20100729010-0001
BBPR014012PIM-02                        ,FN287640                      ,1103,20121130,231-20121130014-0003
BBPR014012PIM-02                        ,FN287641                      ,1103,20130111,231-20130111007-0001
BBPR014012PIM-02                        ,FN287672                      ,1103,20130111,231-20130111007-0001
BBPR014012PIM-02                        ,FN287673                      ,1103,20130111,231-20130111007-0001
BBPR014012PIM-02                        ,FN287678                      ,1103,20130111,231-20130111007-0001
BBPR014012PIM-05                        ,FN288123                      ,1103,20140416,231-20140416007-0001
BBPR014012PIM-05                        ,FN288134                      ,1103,20140416,231-20140416007-0001
BBPR014012PIM-05                        ,FN288176                      ,1103,20140416,231-20140416007-0001
BBPR014012PIM-05                        ,FN288179                      ,1103,20140416,231-20140416007-0001
BBPR014012PIM-05                        ,FN288185                      ,1103,20140416,231-20140416007-0001
BBPR014012PIM-05                        ,FN288192                      ,1103,20140416,231-20140416007-0001
BBPR014012PIM-05                        ,FN288193                      ,1103,20140416,231-20140416007-0001
BBPR014012PIM-05                        ,FN288455                      ,1103,20141222,231-20141222002-0001
BBPR014012PIM-05                        ,FN288455                      ,1103,20141226,231-20141226004-0001
BBPR014012PIM-05                        ,FN288455                      ,1103,20141226,241-20141226003-0001
BBPR014012PIM-05                        ,FN288487                      ,1103,20141222,231-20141222002-0001
BBPR014012PIM-05                        ,FN288487                      ,1103,20141226,231-20141226004-0001
BBPR014012PIM-05                        ,FN288487                      ,1103,20141226,241-20141226003-0001
BBPR014012PIM-05                        ,FN288552                      ,1103,20150323,231-20150323001-0001
BBPR014012PIM-05                        ,FN288630                      ,1103,20150512,231-20150512010-0001
BBPR014012PIM-05                        ,FN288636                      ,1103,20150512,231-20150512010-0001
BBPR014012PIM-05                        ,FN289101                      ,1103,20160707,231-20160707002-0001
BBPR014012PIM-05                        ,FN289104                      ,1103,20160707,231-20160707002-0001
BBPR014012PIM-05                        ,FN289114                      ,1103,20160910,233-20160910009-0001
BBPR014012PIM-05                        ,FN289276                      ,1103,20161124,233-20161124004-0001
BBPR014012PIM-05                        ,FN289290                      ,1103,20161124,233-20161124004-0001
BBPR014012PMH-01                        ,EA256875                      ,1105,20110330,235-20110330001-0001
BBPR014012PMH-01                        ,EA256891                      ,1105,20110301,235-20110301002-0001
BBPR014012PMH-05                        ,EA257093                      ,1105,20120705,235-20120705001-0001
BBPR014012PMH-05                        ,EA257098                      ,1105,20120801,235-20120801001-0001
BBPR014012PMH-05                        ,EA257198                      ,1105,20130925,235-20130925003-0001
BBPR014012PMH-01                        ,EA256740                      ,1106,20091207,231-20091207004-0001
BBPR014012PMH-08                        ,EA257485                      ,1106,20140904,231-20140904004-0001
BBPJ01J430I-01                          ,89J093800217                  ,1106,20091207,231-20091207006-0001
BBPJ01J430I-01                          ,89J100500339                  ,1106,20100406,233-20100406009-0001
BBPJ01J430I-01                          ,J430003057                    ,1106,20090728,233-20090728002-0001
BBPR014012PMH-08                        ,EA257601                      ,400,20150526,231-20150526001-0001
BBPR014012PLM+-01                       ,GN306865                      ,400-1,20140320,231-20140320004-0001
BBPR014012PLM+-01                       ,GN305711                      ,400-2,20100728,231-20100728001-0001
BBPR014012PLM+-01                       ,GN306619                      ,0743-11,20130417,233-20130417005-0001
BBPR014012PLM+-01                       ,GN306621                      ,0743-11,20130417,233-20130417005-0001
BBPR014012PLM+-01                       ,GN306711                      ,0743-11,20130626,231-20130626005-0001
BBPR01412PE+-01                         ,HU326939                      ,1103,20120430,231-20120430002-0001
BBPR01412PE+-01                         ,HU327119                      ,1103,20120430,231-20120430002-0001
BBPR01412PE+-01                         ,HU327120                      ,1103,20120430,231-20120430002-0001
BBPR01412PE+-01                         ,HU327121                      ,1103,20120430,231-20120430002-0001